date,crop,zone,price,quantity_sold_kg
2025-10-01,Tomato,Zone A,19.51,42.0
2025-10-01,Tomato,Zone B,19.83,78.9
2025-10-01,Onion,Zone A,47.23,27.0
2025-10-01,Onion,Zone B,45.51,22.4
2025-10-01,Potato,Zone A,24.31,22.1
2025-10-01,Potato,Zone B,23.71,72.0
2025-10-01,Garlic,Zone A,196.93,67.1
2025-10-01,Garlic,Zone B,206.42,20.5
2025-10-01,Ginger,Zone A,79.62,47.2
2025-10-01,Ginger,Zone B,76.22,96.6
2025-10-01,Capsicum,Zone A,38.06,27.7
2025-10-01,Capsicum,Zone B,40.44,68.3
2025-10-01,Cauliflower,Zone A,31.49,62.9
2025-10-01,Cauliflower,Zone B,32.09,50.3
2025-10-01,Chilli,Zone A,56.74,69.5
2025-10-01,Chilli,Zone B,56.89,66.2
2025-10-01,Grapes,Zone A,136.84,38.2
2025-10-01,Grapes,Zone B,139.61,26.4
2025-10-01,Apple,Zone A,113.98,42.2
2025-10-01,Apple,Zone B,119.02,49.2
2025-10-01,Banana,Zone A,43.38,41.4
2025-10-01,Banana,Zone B,45.97,71.8
2025-10-01,Strawberry,Zone A,222.91,78.3
2025-10-01,Strawberry,Zone B,222.76,50.4
2025-10-02,Tomato,Zone A,21.21,64.6
2025-10-02,Tomato,Zone B,21.29,87.4
2025-10-02,Onion,Zone A,45.24,22.6
2025-10-02,Onion,Zone B,45.56,41.4
2025-10-02,Potato,Zone A,25.14,90.1
2025-10-02,Potato,Zone B,23.92,72.4
2025-10-02,Garlic,Zone A,203.18,56.7
2025-10-02,Garlic,Zone B,192.96,39.7
2025-10-02,Ginger,Zone A,73.65,66.8
2025-10-02,Ginger,Zone B,77.47,52.0
2025-10-02,Capsicum,Zone A,40.42,60.8
2025-10-02,Capsicum,Zone B,37.6,23.8
2025-10-02,Cauliflower,Zone A,29.12,83.4
2025-10-02,Cauliflower,Zone B,28.65,25.1
2025-10-02,Chilli,Zone A,56.51,62.3
2025-10-02,Chilli,Zone B,56.4,88.9
2025-10-02,Grapes,Zone A,128.99,74.5
2025-10-02,Grapes,Zone B,127.13,41.3
2025-10-02,Apple,Zone A,122.98,54.8
2025-10-02,Apple,Zone B,126.45,96.3
2025-10-02,Banana,Zone A,45.81,60.0
2025-10-02,Banana,Zone B,45.49,93.0
2025-10-02,Strawberry,Zone A,234.5,71.1
2025-10-02,Strawberry,Zone B,240.42,32.2
2025-10-03,Tomato,Zone A,20.59,82.3
2025-10-03,Tomato,Zone B,20.57,20.0
2025-10-03,Onion,Zone A,42.51,94.3
2025-10-03,Onion,Zone B,45.55,86.5
2025-10-03,Potato,Zone A,23.65,90.2
2025-10-03,Potato,Zone B,25.4,26.9
2025-10-03,Garlic,Zone A,192.67,80.8
2025-10-03,Garlic,Zone B,203.8,30.3
2025-10-03,Ginger,Zone A,74.21,41.2
2025-10-03,Ginger,Zone B,76.12,53.9
2025-10-03,Capsicum,Zone A,38.97,78.4
2025-10-03,Capsicum,Zone B,37.92,44.9
2025-10-03,Cauliflower,Zone A,31.86,55.0
2025-10-03,Cauliflower,Zone B,31.53,29.7
2025-10-03,Chilli,Zone A,52.79,67.1
2025-10-03,Chilli,Zone B,52.33,37.6
2025-10-03,Grapes,Zone A,129.4,38.3
2025-10-03,Grapes,Zone B,132.22,88.8
2025-10-03,Apple,Zone A,111.7,73.5
2025-10-03,Apple,Zone B,111.49,30.6
2025-10-03,Banana,Zone A,47.23,57.8
2025-10-03,Banana,Zone B,48.03,84.6
2025-10-03,Strawberry,Zone A,206.96,54.5
2025-10-03,Strawberry,Zone B,212.55,57.4
2025-10-04,Tomato,Zone A,20.74,98.7
2025-10-04,Tomato,Zone B,19.8,52.2
2025-10-04,Onion,Zone A,45.56,39.9
2025-10-04,Onion,Zone B,43.18,55.9
2025-10-04,Potato,Zone A,24.37,40.0
2025-10-04,Potato,Zone B,25.64,55.5
2025-10-04,Garlic,Zone A,212.41,24.0
2025-10-04,Garlic,Zone B,220.01,86.9
2025-10-04,Ginger,Zone A,83.33,87.9
2025-10-04,Ginger,Zone B,78.43,58.9
2025-10-04,Capsicum,Zone A,38.55,24.7
2025-10-04,Capsicum,Zone B,38.48,98.8
2025-10-04,Cauliflower,Zone A,29.96,56.4
2025-10-04,Cauliflower,Zone B,29.12,96.6
2025-10-04,Chilli,Zone A,57.98,77.5
2025-10-04,Chilli,Zone B,56.13,43.7
2025-10-04,Grapes,Zone A,148.75,63.4
2025-10-04,Grapes,Zone B,150.74,24.6
2025-10-04,Apple,Zone A,125.67,88.2
2025-10-04,Apple,Zone B,122.2,96.9
2025-10-04,Banana,Zone A,42.03,67.6
2025-10-04,Banana,Zone B,43.71,38.8
2025-10-04,Strawberry,Zone A,217.91,39.7
2025-10-04,Strawberry,Zone B,212.91,69.6
2025-10-05,Tomato,Zone A,19.97,61.8
2025-10-05,Tomato,Zone B,20.53,36.3
2025-10-05,Onion,Zone A,45.01,51.7
2025-10-05,Onion,Zone B,46.6,44.0
2025-10-05,Potato,Zone A,25.03,25.8
2025-10-05,Potato,Zone B,24.46,99.9
2025-10-05,Garlic,Zone A,208.51,37.1
2025-10-05,Garlic,Zone B,211.82,94.7
2025-10-05,Ginger,Zone A,81.8,49.6
2025-10-05,Ginger,Zone B,77.22,86.7
2025-10-05,Capsicum,Zone A,41.18,99.0
2025-10-05,Capsicum,Zone B,41.32,20.6
2025-10-05,Cauliflower,Zone A,30.45,73.1
2025-10-05,Cauliflower,Zone B,32.04,30.7
2025-10-05,Chilli,Zone A,51.22,64.3
2025-10-05,Chilli,Zone B,51.92,68.4
2025-10-05,Grapes,Zone A,138.91,70.7
2025-10-05,Grapes,Zone B,139.6,59.1
2025-10-05,Apple,Zone A,136.55,27.4
2025-10-05,Apple,Zone B,132.06,42.1
2025-10-05,Banana,Zone A,43.69,71.0
2025-10-05,Banana,Zone B,41.95,79.3
2025-10-05,Strawberry,Zone A,225.55,20.8
2025-10-05,Strawberry,Zone B,219.15,90.6
2025-10-06,Tomato,Zone A,20.88,86.8
2025-10-06,Tomato,Zone B,20.95,31.8
2025-10-06,Onion,Zone A,42.66,91.9
2025-10-06,Onion,Zone B,44.35,88.9
2025-10-06,Potato,Zone A,25.39,40.0
2025-10-06,Potato,Zone B,25.17,82.4
2025-10-06,Garlic,Zone A,210.7,69.7
2025-10-06,Garlic,Zone B,206.43,94.4
2025-10-06,Ginger,Zone A,82.19,84.9
2025-10-06,Ginger,Zone B,81.59,22.0
2025-10-06,Capsicum,Zone A,40.4,94.5
2025-10-06,Capsicum,Zone B,41.94,89.1
2025-10-06,Cauliflower,Zone A,30.36,83.0
2025-10-06,Cauliflower,Zone B,29.96,89.8
2025-10-06,Chilli,Zone A,55.71,85.3
2025-10-06,Chilli,Zone B,56.79,44.4
2025-10-06,Grapes,Zone A,140.86,21.9
2025-10-06,Grapes,Zone B,140.46,46.3
2025-10-06,Apple,Zone A,136.88,42.3
2025-10-06,Apple,Zone B,133.44,52.0
2025-10-06,Banana,Zone A,47.3,95.1
2025-10-06,Banana,Zone B,45.71,97.6
2025-10-06,Strawberry,Zone A,221.33,41.2
2025-10-06,Strawberry,Zone B,206.74,54.8
2025-10-07,Tomato,Zone A,20.15,68.5
2025-10-07,Tomato,Zone B,20.48,50.8
2025-10-07,Onion,Zone A,44.45,76.7
2025-10-07,Onion,Zone B,43.54,94.0
2025-10-07,Potato,Zone A,25.54,79.4
2025-10-07,Potato,Zone B,25.44,49.1
2025-10-07,Garlic,Zone A,188.69,46.4
2025-10-07,Garlic,Zone B,183.47,87.8
2025-10-07,Ginger,Zone A,75.98,44.7
2025-10-07,Ginger,Zone B,76.65,52.2
2025-10-07,Capsicum,Zone A,38.01,53.6
2025-10-07,Capsicum,Zone B,40.56,74.2
2025-10-07,Cauliflower,Zone A,31.5,44.1
2025-10-07,Cauliflower,Zone B,31.33,20.0
2025-10-07,Chilli,Zone A,53.53,66.4
2025-10-07,Chilli,Zone B,54.49,57.2
2025-10-07,Grapes,Zone A,133.11,57.9
2025-10-07,Grapes,Zone B,140.6,83.7
2025-10-07,Apple,Zone A,112.45,61.2
2025-10-07,Apple,Zone B,117.56,46.8
2025-10-07,Banana,Zone A,47.37,73.8
2025-10-07,Banana,Zone B,45.41,35.9
2025-10-07,Strawberry,Zone A,203.64,58.0
2025-10-07,Strawberry,Zone B,213.7,25.8
2025-10-08,Tomato,Zone A,20.03,35.6
2025-10-08,Tomato,Zone B,20.14,59.6
2025-10-08,Onion,Zone A,44.4,20.4
2025-10-08,Onion,Zone B,44.73,81.6
2025-10-08,Potato,Zone A,23.87,34.1
